年份,上海市生产总值,住户存款,个人存款,投资总额,一般公共预算收入,税收收入,非税收收入,一般公共预算支出,关口出口,农业总产值,工业总产值,建筑业年末从业人员,建筑业总产值,批发和零售业、住宿和餐饮业从业人员,社会消费品零售总额,职工工资总额,常住人口,年末户籍人口
1998.0,3831.0,2372.93994140625,15540.0,1964.8299560546875,392.2200012207031,406.7300109863281,-14.510000228881836,480.70001220703125,86.62000274658203,216.5,5763.669921875,40.880001068115234,593.1099853515625,150.9600067138672,1593.27001953125,510.3500061035156,1527.0,1306.5799560546875
1999.0,4222.2998046875,2597.1201171875,16574.0,1856.719970703125,431.8500061035156,427.2300109863281,4.619999885559082,546.3800048828125,256.07000732421875,227.61000061035156,6213.240234375,39.0099983215332,573.0599975585938,153.89999389648438,1722.3299560546875,583.5399780273438,1567.0,1313.1199951171875
2000.0,4812.14990234375,2627.070068359375,16331.0,1869.6700439453125,497.9599914550781,484.0,13.960000038146973,622.8400268554688,615.719970703125,233.57000732421875,7022.97998046875,35.90999984741211,631.6400146484375,154.32000732421875,1865.280029296875,614.530029296875,1608.5999755859375,1321.6300048828125
2001.0,5257.66015625,3109.5,19266.0,1994.72998046875,620.239990234375,589.9099731445312,30.329999923706055,726.3800048828125,680.0700073242188,247.2899932861328,7806.18017578125,35.52000045776367,730.3300170898438,165.67999267578125,2016.3699951171875,678.2899780273438,1668.3299560546875,1327.1400146484375
2002.0,5795.02001953125,4915.5400390625,30249.0,2187.06005859375,719.7899780273438,657.7000122070312,62.09000015258789,877.8400268554688,818.030029296875,248.88999938964844,8730.0,41.970001220703125,822.27001953125,179.33999633789062,2203.889892578125,733.3099975585938,1712.969970703125,1334.22998046875
2003.0,6762.3798828125,6054.60009765625,35386.0,2452.110107421875,899.2899780273438,796.8699951171875,102.41999816894531,1102.6400146484375,1123.06005859375,233.38999938964844,11708.490234375,50.52000045776367,1195.800048828125,174.92999267578125,2404.449951171875,803.8400268554688,1765.8399658203125,1341.77001953125
2004.0,8165.3798828125,6960.990234375,39956.0,3084.659912109375,1119.719970703125,1036.22998046875,83.48999786376953,1395.68994140625,1612.6800537109375,237.00999450683594,14595.2900390625,74.26000213623047,1724.4000244140625,181.25,2656.909912109375,837.3900146484375,1834.97998046875,1352.3900146484375
2005.0,9365.5400390625,8432.490234375,47416.0,3542.550048828125,1433.9000244140625,1238.4000244140625,195.5,1660.3199462890625,2124.300048828125,255.97999572753906,16876.779296875,72.2300033569336,1889.25,195.9199981689453,2979.5,1146.969970703125,1890.260009765625,1360.260009765625
2006.0,10718.0400390625,9480.2802734375,52223.0,3925.090087890625,1600.3699951171875,1393.969970703125,206.39999389648438,1813.800048828125,2665.64990234375,280.3500061035156,19631.23046875,73.44000244140625,2285.3798828125,203.50999450683594,3375.199951171875,1475.9300537109375,1964.1099853515625,1368.0799560546875
2007.0,12668.1201171875,9326.4501953125,50194.0,4458.60986328125,2102.6298828125,1975.47998046875,127.1500015258789,2201.919921875,3284.800048828125,283.1499938964844,23108.630859375,69.33000183105469,2524.179931640625,204.4600067138672,3873.300048828125,1802.1700439453125,2063.580078125,1378.8599853515625
2008.0,14275.7998046875,12083.66015625,63987.0,4829.4501953125,2382.340087890625,2223.429931640625,158.91000366210938,2617.679931640625,3936.5,287.0299987792969,25968.380859375,80.79000091552734,3245.77001953125,202.83999633789062,4577.22998046875,2184.199951171875,2140.64990234375,1391.0400390625
2009.0,15285.580078125,14357.650390625,74728.0,5273.330078125,2540.300048828125,2368.449951171875,171.85000610351562,2989.64990234375,3251.280029296875,314.5799865722656,24888.080078125,88.87999725341797,3830.530029296875,205.49000549316406,5213.10986328125,2594.199951171875,2210.280029296875,1400.699951171875
2010.0,17433.2109375,16249.2900390625,70918.0,5317.669921875,2873.580078125,2707.800048828125,165.77999877929688,3302.889892578125,4233.39990234375,321.7300109863281,31038.5703125,96.08999633789062,4300.18994140625,207.94000244140625,6186.580078125,3018.550048828125,2302.659912109375,1412.3199462890625
2011.0,19533.83984375,18920.4296875,82168.0,5067.08984375,3429.830078125,3172.719970703125,257.1099853515625,3914.8798828125,4999.64013671875,323.4800109863281,33834.44140625,96.86000061035156,4586.27978515625,215.57000732421875,7185.830078125,4505.56982421875,2347.4599609375,1419.3599853515625
2012.0,20553.51953125,21512.009765625,90370.0,5254.3798828125,3743.7099609375,3426.7900390625,316.9200134277344,4184.02001953125,4911.56005859375,322.2200012207031,33186.41015625,88.08000183105469,4843.43994140625,226.6999969482422,7840.39990234375,5347.990234375,2380.429931640625,1426.9300537109375
2013.0,22257.66015625,23097.349609375,95635.0,5647.7900390625,4109.509765625,3797.159912109375,312.3500061035156,4528.60986328125,4991.2900390625,302.6199951171875,33899.37890625,81.54000091552734,5102.83984375,230.25999450683594,8556.9599609375,6183.93017578125,2415.14990234375,1432.3399658203125
2014.0,24060.869140625,24057.05078125,99177.0,6016.43017578125,4871.759765625,4219.0498046875,652.7100219726562,5182.64990234375,5232.1201171875,285.0899963378906,34071.19140625,77.6500015258789,5499.93994140625,286.989990234375,9303.490234375,7643.72998046875,2425.679931640625,1438.68994140625
2015.0,25643.470703125,23384.73046875,96612.0,6352.7001953125,5519.5,4858.16015625,661.3400268554688,6191.56005859375,5005.7998046875,302.6199951171875,33211.5703125,69.19000244140625,5652.47021484375,290.2200012207031,10131.5,8318.5703125,2415.27001953125,1442.969970703125
2016.0,28178.650390625,25112.990234375,103786.0,6755.8798828125,6406.1298828125,5625.89990234375,780.22998046875,6918.93994140625,4798.740234375,285.0899963378906,33079.71875,65.44999694824219,6046.18994140625,291.2799987792969,10946.5703125,9140.4501953125,2419.699951171875,1450.0
