x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
813.80 ,406.12 ,2033.66 ,904.57 ,330.71 ,11314.00 ,9422.33 ,11255.70 ,8027.00 ,1150.20 ,6822296.80 ,9422.33 ,758.83 ,697.59 
823.70 ,407.30 ,2353.74 ,1000.69 ,360.42 ,12161.00 ,9751.44 ,12018.52 ,8549.00 ,1386.21 ,6932224.29 ,9751.44 ,878.26 ,955.75 
836.80 ,412.00 ,2475.44 ,1121.13 ,406.57 ,13729.00 ,11349.47 ,13966.53 ,9566.00 ,1581.12 ,7090978.75 ,11349.47 ,923.67 ,1117.14 
845.43 ,417.50 ,2621.60 ,1248.29 ,452.96 ,15971.00 ,11467.35 ,14694.00 ,10473.00 ,1497.84 ,7211490.75 ,11467.35 ,978.21 ,1381.30 
858.31 ,421.80 ,2704.76 ,1370.68 ,529.68 ,18505.00 ,10671.78 ,13380.47 ,11469.00 ,1648.92 ,7292703.75 ,10671.78 ,1009.24 ,1367.03 
875.47 ,429.60 ,3149.46 ,1494.27 ,623.19 ,21839.00 ,11570.58 ,15002.59 ,12360.00 ,5668.92 ,7338910.66 ,11570.58 ,1175.17 ,1526.79 
891.84 ,442.20 ,3615.13 ,1677.77 ,698.85 ,25136.00 ,13120.83 ,16884.16 ,14174.00 ,6171.00 ,7465240.64 ,13120.83 ,1348.93 ,1719.33 
897.21 ,456.00 ,4071.35 ,1905.84 ,777.09 ,28431.00 ,14468.24 ,18287.24 ,16394.00 ,7415.04 ,7595385.86 ,14468.24 ,1519.16 ,2077.01 
910.00 ,468.60 ,4546.30 ,2199.14 ,863.12 ,33320.00 ,15444.93 ,19850.66 ,17881.00 ,1150.20 ,7698506.64 ,15444.93 ,1696.38 ,2421.74 
978.74 ,483.00 ,4993.75 ,2624.24 ,1024.42 ,39303.00 ,18951.32 ,22469.22 ,20058.00 ,1581.12 ,7827604.44 ,18951.32 ,1863.34 ,4262.07 
1002.12 ,498.00 ,5642.85 ,3187.39 ,1174.27 ,45643.00 ,20935.95 ,25316.72 ,22114.00 ,1386.36 ,7935795.34 ,20835.95 ,2105.54 ,4283.15 
1012.36 ,506.40 ,7128.40 ,3615.77 ,1305.86 ,48942.00 ,22820.89 ,27609.59 ,24190.00 ,1497.84 ,8041507.85 ,22820.89 ,2659.85 ,5626.96 
1022.29 ,522.24 ,8746.37 ,4476.38 ,1523.63 ,53745.00 ,25011.61 ,30658.49 ,29549.00 ,1648.92 ,8158106.44 ,25011.61 ,3263.57 ,7107.73 
1033.80 ,530.44 ,9144.72 ,5243.03 ,1986.62 ,60624.00 ,28209.74 ,34438.08 ,34214.00 ,5668.92 ,8243546.56 ,28209.74 ,3412.21 ,7798.51 
1060.77 ,544.92 ,10072.49 ,5977.27 ,2300.39 ,65720.00 ,30490.44 ,38053.52 ,37934.00 ,6171.00 ,8321644.63 ,30490.44 ,3758.39 ,8024.77 
1076.62 ,550.37 ,11912.61 ,6882.85 ,2465.39 ,71963.00 ,33156.83 ,42049.14 ,41972.00 ,7415.04 ,8422973.15 ,33156.83 ,4454.55 ,10607.75 
